,Area,Item Code,Item,Value
520,Fiji,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",10977.5
525,Fiji,21057,Average dietary energy requirement (kcal/cap/day),2368.0
528,Finland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",48936.7
533,Finland,21057,Average dietary energy requirement (kcal/cap/day),2554.0
536,France,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",45187.4
541,France,21057,Average dietary energy requirement (kcal/cap/day),2494.0
548,French Polynesia,21057,Average dietary energy requirement (kcal/cap/day),2437.0
551,Gabon,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",14197.7
556,Gabon,21057,Average dietary energy requirement (kcal/cap/day),2273.0
559,Gambia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2215.5
564,Gambia,21057,Average dietary energy requirement (kcal/cap/day),2233.0
567,Georgia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",15471.7
572,Georgia,21057,Average dietary energy requirement (kcal/cap/day),2454.0
575,Germany,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",52930.8
580,Germany,21057,Average dietary energy requirement (kcal/cap/day),2531.0
583,Ghana,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",5623.8
588,Ghana,21057,Average dietary energy requirement (kcal/cap/day),2298.0
591,Greece,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",29428.4
596,Greece,21057,Average dietary energy requirement (kcal/cap/day),2528.0
603,Greenland,21057,Average dietary energy requirement (kcal/cap/day),
606,Grenada,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",15183.4
611,Grenada,21057,Average dietary energy requirement (kcal/cap/day),2440.0
614,Guatemala,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",8892.5
619,Guatemala,21057,Average dietary energy requirement (kcal/cap/day),2189.0
622,Guinea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2620.2
627,Guinea,21057,Average dietary energy requirement (kcal/cap/day),2199.0
630,Guinea-Bissau,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",1872.5
635,Guinea-Bissau,21057,Average dietary energy requirement (kcal/cap/day),
638,Guyana,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",22295.5
643,Guyana,21057,Average dietary energy requirement (kcal/cap/day),2334.0
646,Haiti,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2846.7
651,Haiti,21057,Average dietary energy requirement (kcal/cap/day),2345.0
654,Honduras,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",5691.4
659,Honduras,21057,Average dietary energy requirement (kcal/cap/day),2296.0
662,Hungary,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",33518.0
667,Hungary,21057,Average dietary energy requirement (kcal/cap/day),2521.0
670,Iceland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",53462.7
675,Iceland,21057,Average dietary energy requirement (kcal/cap/day),2538.0
678,India,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6675.3
683,India,21057,Average dietary energy requirement (kcal/cap/day),2320.0
686,Indonesia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",11746.2
691,Indonesia,21057,Average dietary energy requirement (kcal/cap/day),2302.0
698,Iran (Islamic Republic of),21057,Average dietary energy requirement (kcal/cap/day),2358.0
701,Iraq,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",9474.8
706,Iraq,21057,Average dietary energy requirement (kcal/cap/day),2291.0
709,Ireland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",102154.0
714,Ireland,21057,Average dietary energy requirement (kcal/cap/day),2483.0
717,Israel,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",41582.5
722,Israel,21057,Average dietary energy requirement (kcal/cap/day),2296.0
725,Italy,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",41937.2
730,Italy,21057,Average dietary energy requirement (kcal/cap/day),2526.0
733,Jamaica,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",9126.1
738,Jamaica,21057,Average dietary energy requirement (kcal/cap/day),2450.0
741,Japan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",40769.8
746,Japan,21057,Average dietary energy requirement (kcal/cap/day),2418.0
749,Jordan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",9969.1
754,Jordan,21057,Average dietary energy requirement (kcal/cap/day),2360.0
757,Kazakhstan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",26033.2
762,Kazakhstan,21057,Average dietary energy requirement (kcal/cap/day),2337.0
765,Kenya,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",4572.7
770,Kenya,21057,Average dietary energy requirement (kcal/cap/day),2235.0
777,Kiribati,21057,Average dietary energy requirement (kcal/cap/day),2292.0
784,Kuwait,21057,Average dietary energy requirement (kcal/cap/day),2487.0
787,Kyrgyzstan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",4813.2
792,Kyrgyzstan,21057,Average dietary energy requirement (kcal/cap/day),2332.0
795,Lao People's Democratic Republic,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",7895.6
800,Lao People's Democratic Republic,21057,Average dietary energy requirement (kcal/cap/day),2344.0
803,Latvia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",31688.5
808,Latvia,21057,Average dietary energy requirement (kcal/cap/day),2427.0
811,Lebanon,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",9731.7
816,Lebanon,21057,Average dietary energy requirement (kcal/cap/day),2407.0
819,Lesotho,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2441.5
824,Lesotho,21057,Average dietary energy requirement (kcal/cap/day),2304.0
827,Liberia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",1413.4
832,Liberia,21057,Average dietary energy requirement (kcal/cap/day),2220.0
835,Libya,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",21260.4
840,Libya,21057,Average dietary energy requirement (kcal/cap/day),2396.0
843,Lithuania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",38957.6
848,Lithuania,21057,Average dietary energy requirement (kcal/cap/day),2447.0
851,Luxembourg,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",118680.0
856,Luxembourg,21057,Average dietary energy requirement (kcal/cap/day),2578.0
859,Madagascar,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",1488.6
864,Madagascar,21057,Average dietary energy requirement (kcal/cap/day),2162.0
867,Malawi,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",1509.5
872,Malawi,21057,Average dietary energy requirement (kcal/cap/day),2186.0
875,Malaysia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",26959.2
880,Malaysia,21057,Average dietary energy requirement (kcal/cap/day),2382.0
883,Maldives,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",16596.0
